test_id,question,expected_document,chunking_method,embedding_model,search_algorithm,retrieved_sources,correct_document_retrieved,embedding_latency_ms,search_latency_ms,total_retrieval_latency_ms,llm_generation_latency_ms,end_to_end_latency_ms,top_chunk_preview,notes
T001,What is Sriyanka's educational background?,resume,recursive,sentence-transformers/all-MiniLM-L6-v2,hnsw,06ed76ce-c206-45aa-93a7-8741534f2ccc_sriyanka_resume.pdf,True,13.015,63.095,76.109,25639.724,25715.833,"Facial Emotion Recognition System Tailored for Diverse Nepali Ethnic Groups Using Transfer Learning Sriyanka Baral, Suchana Subedi, Kalpana Acharya, Sharon Adhikari, Nawaraj Subedi Presented at the 16th IOE Graduate Conference Skills Programming:Pyth",requested_top_k=3; accuracy_cutoff=3
T002,What is Sriyanka's educational background?,resume,recursive,sentence-transformers/all-MiniLM-L6-v2,exact,06ed76ce-c206-45aa-93a7-8741534f2ccc_sriyanka_resume.pdf,True,333.358,189.379,522.737,8342.702,8865.439,"Facial Emotion Recognition System Tailored for Diverse Nepali Ethnic Groups Using Transfer Learning Sriyanka Baral, Suchana Subedi, Kalpana Acharya, Sharon Adhikari, Nawaraj Subedi Presented at the 16th IOE Graduate Conference Skills Programming:Pyth",requested_top_k=3; accuracy_cutoff=3
T003,What AI or machine learning projects are mentioned in Sriyanka's resume?,resume,recursive,sentence-transformers/all-MiniLM-L6-v2,hnsw,06ed76ce-c206-45aa-93a7-8741534f2ccc_sriyanka_resume.pdf,True,61.737,123.583,185.32,18863.206,19048.526,"RAG-based projects. Seeking an entry-level role in AI/ML, computer vision, or Python-based AI development. Education Western Regional Campus (WRC), IOE, Tribhuvan University Bachelor’s in Electronics, Communication and Information Technology April 20",requested_top_k=3; accuracy_cutoff=3
T004,What AI or machine learning projects are mentioned in Sriyanka's resume?,resume,recursive,sentence-transformers/all-MiniLM-L6-v2,exact,06ed76ce-c206-45aa-93a7-8741534f2ccc_sriyanka_resume.pdf,True,30.464,159.005,189.47,7877.976,8067.446,"RAG-based projects. Seeking an entry-level role in AI/ML, computer vision, or Python-based AI development. Education Western Regional Campus (WRC), IOE, Tribhuvan University Bachelor’s in Electronics, Communication and Information Technology April 20",requested_top_k=3; accuracy_cutoff=3
T005,What are the main employee responsibilities in the IT company regulations?,regulations,recursive,sentence-transformers/all-MiniLM-L6-v2,hnsw,3ac9493b-4161-4eb8-b095-e6c3b7c92a03_sample_it_company_policy.txt,True,30.706,96.652,127.358,13343.585,13470.942,"2. Scope This policy applies to all employees, interns, contractors, consultants, and temporary staff who use company devices, networks, software tools, cloud platforms, email accounts, source code repositories, or client data. 3. Acceptable Use of C",requested_top_k=3; accuracy_cutoff=3
T006,What are the main employee responsibilities in the IT company regulations?,regulations,recursive,sentence-transformers/all-MiniLM-L6-v2,exact,3ac9493b-4161-4eb8-b095-e6c3b7c92a03_sample_it_company_policy.txt,True,29.275,125.953,155.228,8320.77,8475.998,"2. Scope This policy applies to all employees, interns, contractors, consultants, and temporary staff who use company devices, networks, software tools, cloud platforms, email accounts, source code repositories, or client data. 3. Acceptable Use of C",requested_top_k=3; accuracy_cutoff=3
T007,What actions are prohibited according to the IT company regulations?,regulations,recursive,sentence-transformers/all-MiniLM-L6-v2,hnsw,3ac9493b-4161-4eb8-b095-e6c3b7c92a03_sample_it_company_policy.txt,True,30.419,78.681,109.1,17126.013,17235.113,"3. Acceptable Use of Company Systems Company laptops, email accounts, cloud storage, development servers, and internal tools must be used mainly for work-related activities. Limited personal use is allowed only when it does not affect productivity, s",requested_top_k=3; accuracy_cutoff=3
T008,What actions are prohibited according to the IT company regulations?,regulations,recursive,sentence-transformers/all-MiniLM-L6-v2,exact,3ac9493b-4161-4eb8-b095-e6c3b7c92a03_sample_it_company_policy.txt,True,23.748,229.088,252.836,10575.049,10827.885,"3. Acceptable Use of Company Systems Company laptops, email accounts, cloud storage, development servers, and internal tools must be used mainly for work-related activities. Limited personal use is allowed only when it does not affect productivity, s",requested_top_k=3; accuracy_cutoff=3
T009,What is Sriyanka's educational background?,resume,recursive,BAAI/bge-small-en-v1.5,hnsw,06ed76ce-c206-45aa-93a7-8741534f2ccc_sriyanka_resume.pdf,True,14.726,16.621,31.347,16492.247,16523.594,"Sriyanka Baral Bharatpur, Chitwan, Nepal|sriyankabaral66@gmail.com|+977-9845068219 LinkedIn|GitHub Summary Recent BE graduate in Electronics, Communication and Information Technology with hands-on experience in AI/ML, computer vision, and medical ima",requested_top_k=3; accuracy_cutoff=3
T010,What is Sriyanka's educational background?,resume,recursive,BAAI/bge-small-en-v1.5,exact,06ed76ce-c206-45aa-93a7-8741534f2ccc_sriyanka_resume.pdf,True,43.412,59.68,103.092,8386.941,8490.033,"Sriyanka Baral Bharatpur, Chitwan, Nepal|sriyankabaral66@gmail.com|+977-9845068219 LinkedIn|GitHub Summary Recent BE graduate in Electronics, Communication and Information Technology with hands-on experience in AI/ML, computer vision, and medical ima",requested_top_k=3; accuracy_cutoff=3
T011,What AI or machine learning projects are mentioned in Sriyanka's resume?,resume,recursive,BAAI/bge-small-en-v1.5,hnsw,06ed76ce-c206-45aa-93a7-8741534f2ccc_sriyanka_resume.pdf,True,145.484,137.682,283.166,12698.98,12982.146,"Sriyanka Baral Bharatpur, Chitwan, Nepal|sriyankabaral66@gmail.com|+977-9845068219 LinkedIn|GitHub Summary Recent BE graduate in Electronics, Communication and Information Technology with hands-on experience in AI/ML, computer vision, and medical ima",requested_top_k=3; accuracy_cutoff=3
T012,What AI or machine learning projects are mentioned in Sriyanka's resume?,resume,recursive,BAAI/bge-small-en-v1.5,exact,06ed76ce-c206-45aa-93a7-8741534f2ccc_sriyanka_resume.pdf,True,46.429,72.523,118.952,13464.62,13583.571,"Sriyanka Baral Bharatpur, Chitwan, Nepal|sriyankabaral66@gmail.com|+977-9845068219 LinkedIn|GitHub Summary Recent BE graduate in Electronics, Communication and Information Technology with hands-on experience in AI/ML, computer vision, and medical ima",requested_top_k=3; accuracy_cutoff=3
T013,What are the main employee responsibilities in the IT company regulations?,regulations,recursive,BAAI/bge-small-en-v1.5,hnsw,3ac9493b-4161-4eb8-b095-e6c3b7c92a03_sample_it_company_policy.txt,True,40.14,77.414,117.553,13899.411,14016.964,"Employees should not rely only on local device storage for important work. Temporary files and outdated sensitive documents should be deleted when no longer needed. 15. Employee Responsibilities Employees are responsible for following this policy, pr",requested_top_k=3; accuracy_cutoff=3
